student_id,name,department,password
1000117,Aman Sinha,English,Aman Sinha
1000118,Aman Thomas,Psychology,Aman Thomas
1000119,Aman Verma,Biotechnology,Aman Verma
1000120,Aman Yadav,Statistics,Aman Yadav
1000121,Ananya Bansal,Computer Science,Ananya Bansal
1000122,Ananya Bhat,Data Science,Ananya Bhat
1000123,Ananya Chandra,Mathematics,Ananya Chandra
1000124,Ananya Das,Physics,Ananya Das
1000125,Ananya Desai,Commerce,Ananya Desai
1000126,Ananya Gupta,Economics,Ananya Gupta
1000127,Ananya Iyer,English,Ananya Iyer
1000128,Ananya Joshi,Psychology,Ananya Joshi
1000129,Ananya Kapoor,Biotechnology,Ananya Kapoor
1000130,Ananya Khan,Statistics,Ananya Khan
1000131,Ananya Mehta,Computer Science,Ananya Mehta
1000132,Ananya Menon,Data Science,Ananya Menon
1000133,Ananya Mishra,Mathematics,Ananya Mishra
1000134,Ananya Nair,Physics,Ananya Nair
1000135,Ananya Patel,Commerce,Ananya Patel
1000136,Ananya Rao,Economics,Ananya Rao
1000137,Ananya Reddy,English,Ananya Reddy
1000138,Ananya Shah,Psychology,Ananya Shah
1000139,Ananya Sharma,Biotechnology,Ananya Sharma
1000140,Ananya Singh,Statistics,Ananya Singh
1000141,Ananya Sinha,Computer Science,Ananya Sinha
1000142,Ananya Thomas,Data Science,Ananya Thomas
1000143,Ananya Verma,Mathematics,Ananya Verma
1000144,Ananya Yadav,Physics,Ananya Yadav
1000145,Arjun Bansal,Commerce,Arjun Bansal
1000146,Arjun Bhat,Economics,Arjun Bhat
1000147,Arjun Chandra,English,Arjun Chandra
1000148,Arjun Das,Psychology,Arjun Das
1000149,Arjun Desai,Biotechnology,Arjun Desai
1000150,Arjun Gupta,Statistics,Arjun Gupta
1000151,Arjun Iyer,Computer Science,Arjun Iyer
1000152,Arjun Joshi,Data Science,Arjun Joshi
1000153,Arjun Kapoor,Mathematics,Arjun Kapoor
1000154,Arjun Khan,Physics,Arjun Khan
1000155,Arjun Mehta,Commerce,Arjun Mehta
1000156,Arjun Menon,Economics,Arjun Menon
1000157,Arjun Mishra,English,Arjun Mishra
1000158,Arjun Nair,Psychology,Arjun Nair
1000159,Arjun Patel,Biotechnology,Arjun Patel
1000160,Arjun Rao,Statistics,Arjun Rao
1000161,Arjun Reddy,Computer Science,Arjun Reddy
1000162,Arjun Shah,Data Science,Arjun Shah
1000163,Arjun Sharma,Mathematics,Arjun Sharma
1000164,Arjun Singh,Physics,Arjun Singh
1000165,Arjun Sinha,Commerce,Arjun Sinha
1000166,Arjun Thomas,Economics,Arjun Thomas
1000167,Arjun Verma,English,Arjun Verma
1000168,Arjun Yadav,Psychology,Arjun Yadav
1000169,Aryan Bansal,Biotechnology,Aryan Bansal
1000170,Aryan Bhat,Statistics,Aryan Bhat
1000171,Aryan Chandra,Computer Science,Aryan Chandra
1000172,Aryan Das,Data Science,Aryan Das
1000173,Aryan Desai,Mathematics,Aryan Desai
1000174,Aryan Gupta,Physics,Aryan Gupta
1000175,Aryan Iyer,Commerce,Aryan Iyer
1000176,Aryan Joshi,Economics,Aryan Joshi
1000177,Aryan Kapoor,English,Aryan Kapoor
1000178,Aryan Khan,Psychology,Aryan Khan
1000179,Aryan Mehta,Biotechnology,Aryan Mehta
1000180,Aryan Menon,Statistics,Aryan Menon
1000181,Aryan Mishra,Computer Science,Aryan Mishra
1000182,Aryan Nair,Data Science,Aryan Nair
1000183,Aryan Patel,Mathematics,Aryan Patel
1000184,Aryan Rao,Physics,Aryan Rao
1000185,Aryan Reddy,Commerce,Aryan Reddy
1000186,Aryan Shah,Economics,Aryan Shah
1000187,Aryan Sharma,English,Aryan Sharma
1000188,Aryan Singh,Psychology,Aryan Singh
1000189,Aryan Sinha,Biotechnology,Aryan Sinha
1000190,Aryan Thomas,Statistics,Aryan Thomas
1000191,Aryan Verma,Computer Science,Aryan Verma
1000192,Aryan Yadav,Data Science,Aryan Yadav
1000193,Bharat Bansal,Mathematics,Bharat Bansal
1000194,Bharat Bhat,Physics,Bharat Bhat
1000195,Bharat Chandra,Commerce,Bharat Chandra
1000196,Bharat Das,Economics,Bharat Das
1000197,Bharat Desai,English,Bharat Desai
1000198,Bharat Gupta,Psychology,Bharat Gupta
1000199,Bharat Iyer,Biotechnology,Bharat Iyer
1000200,Bharat Joshi,Statistics,Bharat Joshi
